ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL41244W,The Winner,David Baldacci,1997,"Simon & Schuster, Limited",9780446606325,Paperback,dut,https://openlibrary.org/books/OL50706918M
ol_OL3261153W,Dragonfly in Amber,Diana Gabaldon,1992,Turtleback,1784751367,Paperback,fre,https://openlibrary.org/books/OL49658199M
ol_OL15719630W,Divergent,Veronica Roth,2010,Katherine Tegen,9780329925857,Paperback,por,https://openlibrary.org/books/OL35666789M
ol_OL9334371W,The The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2008,Swiat Ksiazki,9780385341004,Paperback,eng,https://openlibrary.org/books/OL39815134M
ol_OL16820059W,Mr. Mercedes,Stephen King,2013,Albin Michel,1476754470,Paperback,eng,https://openlibrary.org/books/OL45238499M
ol_OL15401200W,The Lost Hero,Rick Riordan,2010,Disney Press,1484408047,Paperback,dut,https://openlibrary.org/books/OL53338844M
ol_OL13716951W,The Tales of Beedle the Bard,J. K. Rowling,2008,Munhak Such'ŏp litŭlbuk,9788532516015,Paperback,jpn,https://openlibrary.org/books/OL47683226M
ol_OL56770W,Light a Penny Candle,Maeve Binchy,1970,Penguin Random House,9780099196518,Paperback,fre,https://openlibrary.org/books/OL40204998M
ol_OL492642W,The Last Olympian,Rick Riordan,2009,Penguin,1613831110,Paperback,spa,https://openlibrary.org/books/OL52252588M
ol_OL15382656W,Fall of Giants,Ken Follett,2010,Signet,1611763428,Paperback,chi,https://openlibrary.org/books/OL37770794M
ol_OL1905293W,La isla bajo el mar,Isabel Allende,2009,SUDAMERICANA,9500730960,Paperback,spa,https://openlibrary.org/books/OL47359275M
ol_OL19708W,Fine things,Danielle Steel,1987,Delacorte Press,9780440236894,Paperback,hun,https://openlibrary.org/books/OL47832990M
ol_OL875437W,The Perks of Being a Wallflower,Stephen Chbosky,1999,"Simon & Schuster, Limited",9781451696202,Paperback,pol,https://openlibrary.org/books/OL51576510M
ol_OL151996W,Beezus and Ramona,Beverly Cleary,1955,HarperTrophy,044040665X,Paperback,dan,https://openlibrary.org/books/OL46972834M
ol_OL149119W,Duma Key,Stephen King,2008,Albin Michel,1892950944,Paperback,dut,https://openlibrary.org/books/OL30693623M
ol_OL104357W,"Judy Moody, M.D",Megan McDonald,2004,scholastic,9780763648626,Paperback,pol,https://openlibrary.org/books/OL45688112M
ol_OL453739W,Men at Arms,Terry Pratchett,1993,Isis Audio Books,9780061347559,Paperback,spa,https://openlibrary.org/books/OL50726737M
ol_OL257914W,A Storm of Swords,George R. R. Martin,2000,Subterranean Press,9781892065858,Paperback,eng,https://openlibrary.org/books/OL35738026M
