ID,ltable_id,rtable_id,ltable_Title,ltable_Author,ltable_Year,ltable_Publisher,ltable_ISBN,ltable_Format,ltable_Language,ltable_URL,rtable_Title,rtable_Author,rtable_Year,rtable_Publisher,rtable_ISBN,rtable_Format,rtable_Language,rtable_URL
523,ol_OL16726733W,gb_BU3LsK7qQJ0C,Beautiful disaster,Jamie McGuire,2012,Atria Books,1476712050,Paperback,eng,https://openlibrary.org/books/OL25393734M,Beautiful Disaster,Jamie McGuire,2012,Simon and Schuster,9781476712055,Paperback,en,https://play.google.com/store/books/details?id=BU3LsK7qQJ0C&source=gbs_api
524,ol_OL17359700W,gb_HSsTswEACAAJ,Betrayed,Lisa Scottoline,2014,St. Martin's Press,1250027705,Paperback,eng,https://openlibrary.org/books/OL25937533M,Betrayed,Lisa Scottoline,2015,Large Print Press,1594137935,Paperback,en,http://books.google.com/books?id=HSsTswEACAAJ&dq=john+grisham+books&hl=&as_pt=BOOKS&source=gbs_api
525,ol_OL17712030W,gb_VUvk9pcLQksC,True Love,Jude Deveraux,2013,Ballantine Books,0345541804,Paperback,eng,https://openlibrary.org/books/OL26313396M,True Love,Jude Deveraux,2013,Ballantine Books,9780345541802,Paperback,en,https://play.google.com/store/books/details?id=VUvk9pcLQksC&source=gbs_api
526,ol_OL18172223W,gb_hWFXPwAACAAJ,The lucky one,Nicholas Sparks,2009,Grand Central Publishing,9780446698344,Paperback,eng,https://openlibrary.org/books/OL24087286M,The Lucky One,Nicholas Sparks,2008,,0446540765,Paperback,en,http://books.google.com/books?id=hWFXPwAACAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
527,ol_OL28851768W,gb_KWUMEAAAQBAJ,Apples Never Fall,Liane Moriarty,2023,"Holt & Company, Henry",1250894220,Paperback,eng,https://openlibrary.org/books/OL39660956M,Apples Never Fall,Liane Moriarty,2021,Henry Holt and Company,9781250220264,Paperback,en,https://play.google.com/store/books/details?id=KWUMEAAAQBAJ&source=gbs_api
528,ol_OL22072588W,gb_Fz0YDQAAQBAJ,Magpie Murders,Anthony Horowitz,2017,Harper,0062645226,Paperback,eng,https://openlibrary.org/books/OL30114165M,Magpie Murders,Anthony Horowitz,2017,HarperCollins,9780062645241,Paperback,en,https://play.google.com/store/books/details?id=Fz0YDQAAQBAJ&source=gbs_api
529,ol_OL17900798W,gb_Fz0YDQAAQBAJ,Magpie murders,Anthony Horowitz,2018,,9780062645234,Paperback,eng,https://openlibrary.org/books/OL26477489M,Magpie Murders,Anthony Horowitz,2017,HarperCollins,9780062645241,Paperback,en,https://play.google.com/store/books/details?id=Fz0YDQAAQBAJ&source=gbs_api
530,ol_OL27797108W,gb_-2uyBgAAQBAJ,Any Other Name,Craig Johnson,2015,"Orion Publishing Group, Limited",9781471917738,Paperback,eng,https://openlibrary.org/books/OL37966285M,Any Other Name,Craig Johnson,2015,Hachette UK,9781471917721,Paperback,en,http://books.google.com/books?id=-2uyBgAAQBAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
531,ol_OL18166169W,gb_KM5ZEAAAQBAJ,All summer long,Susan Mallery,2012,Harlequin,9780373776948,Paperback,eng,https://openlibrary.org/books/OL26644183M,All Summer Long,Susan Mallery,2022,HQN Books,9780369722379,Paperback,en,https://play.google.com/store/books/details?id=KM5ZEAAAQBAJ&source=gbs_api
532,ol_OL18166528W,gb_hWFXPwAACAAJ,The lucky one,Nicholas Sparks,2010,Vision,9780446618328,Paperback,eng,https://openlibrary.org/books/OL24085274M,The Lucky One,Nicholas Sparks,2008,,0446540765,Paperback,en,http://books.google.com/books?id=hWFXPwAACAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
533,ol_OL16655521W,gb_MupFi_o6ak8C,The Lady of the Rivers,Philippa Gregory,2012,Simon & Schuster,1416563717,Paperback,eng,https://openlibrary.org/books/OL25332268M,The Lady of the Rivers,Philippa Gregory,2012,Simon and Schuster,9781416563716,Paperback,en,http://books.google.com/books?id=MupFi_o6ak8C&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
534,ol_OL19742763W,gb_Et5MDwAAQBAJ,Us against you,Fredrik Backman,2018,Atria Books,1501160796,Paperback,eng,https://openlibrary.org/books/OL26955835M,Us Against You,Fredrik Backman,2018,Penguin UK,9781405930246,Paperback,en,http://books.google.com/books?id=Et5MDwAAQBAJ&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
535,ol_OL35744222W,gb_ncaqEAAAQBAJ,Sparring Partners,John Grisham,2023,Knopf Doubleday Publishing Group,9780593470909,Paperback,eng,https://openlibrary.org/books/OL48230182M,Sparring Partners,John Grisham,2023,Vintage,9780593470909,Paperback,en,http://books.google.com/books?id=ncaqEAAAQBAJ&dq=john+grisham+books&hl=&as_pt=BOOKS&source=gbs_api
536,ol_OL35744222W,gb_gE9ZEAAAQBAJ,Sparring Partners,John Grisham,2023,Knopf Doubleday Publishing Group,9780593470909,Paperback,eng,https://openlibrary.org/books/OL48230182M,Sparring Partners,John Grisham,2022,Vintage,9780385549332,Paperback,en,https://play.google.com/store/books/details?id=gE9ZEAAAQBAJ&source=gbs_api
537,ol_OL31860291W,gb_fkGNEAAAQBAJ,The Guardians,John Grisham,2019,Hodder & Stoughton,9781529362541,Paperback,eng,https://openlibrary.org/books/OL43566767M,The Guardians,John Grisham,2019,National Geographic Books,9780385544184,Paperback,en,http://books.google.com/books?id=fkGNEAAAQBAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
538,ol_OL31860291W,gb_5IbnDwAAQBAJ,The Guardians,John Grisham,2019,Hodder & Stoughton,9781529362541,Paperback,eng,https://openlibrary.org/books/OL43566767M,The Guardians,John Grisham,2020,Vintage,9780593129982,Paperback,en,http://books.google.com/books?id=5IbnDwAAQBAJ&dq=john+grisham+books&hl=&as_pt=BOOKS&source=gbs_api
539,ol_OL31860291W,gb_LGeEDwAAQBAJ,The Guardians,John Grisham,2019,Hodder & Stoughton,9781529362541,Paperback,eng,https://openlibrary.org/books/OL43566767M,The Guardians,John Grisham,2019,Vintage,9780385544191,Paperback,en,https://play.google.com/store/books/details?id=LGeEDwAAQBAJ&source=gbs_api
540,ol_OL20005808W,gb_08ZJBgAAQBAJ,Robert B. Parker's the Devil wins,Reed Farrel Coleman,2015,,0399169466,Paperback,eng,https://openlibrary.org/books/OL27185900M,Robert B. Parker's The Devil Wins,Reed Farrel Coleman,2015,Penguin,9780698155633,Paperback,en,https://play.google.com/store/books/details?id=08ZJBgAAQBAJ&source=gbs_api
