ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL14917748W,Under the Dome,Stephen King,1925,Pocket Books,9789752113244,Paperback,spa,https://openlibrary.org/books/OL47330262M
ol_OL16109210W,Fortunate mistress,Daniel Defoe,1724,Signet Classics,9781582872674,Paperback,eng,https://openlibrary.org/books/OL6293483M
ol_OL23200W,The Moon is Down,John Steinbeck,1942,Macmillan Education Ltd,9781440666612,Paperback,per,https://openlibrary.org/books/OL6488137M
ol_OL41255W,Total control,David Baldacci,1996,Altin Kitaplar Yayinevi.,1447287630,Paperback,spa,https://openlibrary.org/books/OL48120742M
ol_OL16239762W,Gone Girl,Gillian Flynn,2011,Fischer Scherz,9780297859390,Paperback,chi,https://openlibrary.org/books/OL49238644M
ol_OL16002468W,11/22/63,Stephen King,1925,Scribner,144472732X,Paperback,dut,https://openlibrary.org/books/OL35619741M
ol_OL492647W,The Titan's Curse,Rick Riordan,2007,disney,1423131975,Paperback,eng,https://openlibrary.org/books/OL52252576M
ol_OL22908W,Plum Island,Nelson De Mille,1997,Grand Central Publishing,9781415902073,Paperback,ita,https://openlibrary.org/books/OL47132580M
ol_OL41260W,Wish You Well,David Baldacci,2000,Zeta Bolsillo,1549116622,Paperback,dut,https://openlibrary.org/books/OL47225187M
ol_OL448878W,The Sum of All Fears,Tom Clancy,1991,Books on Tape,9785553887544,Paperback,spa,https://openlibrary.org/books/OL47170754M
ol_OL15212619W,Room,Emma Donoghue,2010,"Oberon Books, Limited",0316174629,Paperback,chi,https://openlibrary.org/books/OL50521968M
ol_OL59038W,Never Let Me Go,Kazuo Ishiguro,2005,Faber,9788433972743,Paperback,tur,https://openlibrary.org/books/OL50608404M
ol_OL19674W,Secrets,Danielle Steel,1985,Unknown,9021007916,Paperback,fin,https://openlibrary.org/books/OL45866770M
ol_OL2688555W,My father's dragon,Ruth Stiles Gannett,1948,Noah Text Publishing,9780486492834,Paperback,eng,https://openlibrary.org/books/OL9535468M
ol_OL8479867W,The Name of the Wind,Patrick Rothfuss,2007,Bragelonne,9781469203812,Paperback,eng,https://openlibrary.org/books/OL39220596M
ol_OL15168588W,The Passage,Justin Cronin,2010,Cemetery Dance Publications,9781409107262,Paperback,ita,https://openlibrary.org/books/OL54072321M
ol_OL5725975W,Artemis Fowl. The Opal Deception,Eoin Colfer,2005,Perfection Learning,9780140918977,Paperback,pol,https://openlibrary.org/books/OL43638901M
ol_OL1914079W,World Without End,Ken Follett,1961,"Plaza & Janés Editores, S.A.",2298016941,Paperback,spa,https://openlibrary.org/books/OL37777236M
ol_OL52953W,One Shot,Lee Child,2005,RBA,849006461X,Paperback,eng,https://openlibrary.org/books/OL51709424M
ol_OL137391W,The Amazing Interlude,Mary Roberts Rinehart,1918,Audio Book Contractors,9781458703705,Paperback,eng,https://openlibrary.org/books/OL51491477M
ol_OL41244W,The Winner,David Baldacci,1997,"Simon & Schuster, Limited",9780446606325,Paperback,dut,https://openlibrary.org/books/OL50706918M
ol_OL3261153W,Dragonfly in Amber,Diana Gabaldon,1992,Turtleback,1784751367,Paperback,fre,https://openlibrary.org/books/OL49658199M
ol_OL9334371W,The The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2008,Bloomsbury,0385340990,Paperback,spa,https://openlibrary.org/books/OL39815134M
ol_OL16820059W,Mr. Mercedes,Stephen King,2013,Heyne Verlag,9788820057190,Paperback,chi,https://openlibrary.org/books/OL45238499M
ol_OL13716951W,The Tales of Beedle the Bard,J. K. Rowling,2008,CKQM9,9788498388831,Paperback,ger,https://openlibrary.org/books/OL47683226M
ol_OL679333W,Neverwhere,Neil Gaiman,1996,"HarperCollins Publishers (Author Signed Edition) September 26, 2017",0060010819,Paperback,spa,https://openlibrary.org/books/OL51534875M
ol_OL15401200W,The Lost Hero,Rick Riordan,2010,Penguin,8415580495,Paperback,dut,https://openlibrary.org/books/OL53338844M
ol_OL15719630W,Divergent,Veronica Roth,2010,Katherine Tegen,9780329925857,Paperback,por,https://openlibrary.org/books/OL35666789M
ol_OL56770W,Light a Penny Candle,Maeve Binchy,1970,Penguin Random House,9780099196518,Paperback,fre,https://openlibrary.org/books/OL40204998M
ol_OL492642W,The Last Olympian,Rick Riordan,2009,Penguin,1613831110,Paperback,spa,https://openlibrary.org/books/OL52252588M
ol_OL15382656W,Fall of Giants,Ken Follett,2010,Signet,1611763428,Paperback,chi,https://openlibrary.org/books/OL37770794M
ol_OL1905293W,La isla bajo el mar,Isabel Allende,2009,SUDAMERICANA,9500730960,Paperback,spa,https://openlibrary.org/books/OL47359275M
ol_OL19708W,Fine things,Danielle Steel,1987,Delacorte Press,9780440236894,Paperback,hun,https://openlibrary.org/books/OL47832990M
ol_OL875437W,The Perks of Being a Wallflower,Stephen Chbosky,1999,"Simon & Schuster, Limited",9781451696202,Paperback,pol,https://openlibrary.org/books/OL51576510M
ol_OL151996W,Beezus and Ramona,Beverly Cleary,1955,HarperTrophy,044040665X,Paperback,dan,https://openlibrary.org/books/OL46972834M
ol_OL149119W,Duma Key,Stephen King,2008,Altin Kitaplar,9781416598084,Paperback,pol,https://openlibrary.org/books/OL30693623M
ol_OL5819884W,Brisingr,Christopher Paolini,1998,Random House Export Editions,0385617259,Paperback,ger,https://openlibrary.org/books/OL50546464M
ol_OL257914W,A Storm of Swords,George R. R. Martin,2000,Random House Audio,1101965487,Paperback,spa,https://openlibrary.org/books/OL35738026M
ol_OL453739W,Men at Arms,Terry Pratchett,1993,Isis Audio Books,9780061347559,Paperback,spa,https://openlibrary.org/books/OL50726737M
ol_OL463356W,Dead cert,Dick Francis,1962,Jove Books,0141929103,Paperback,eng,https://openlibrary.org/books/OL47756540M
ol_OL104357W,"Judy Moody, M.D",Megan McDonald,2004,scholastic,9780763648626,Paperback,pol,https://openlibrary.org/books/OL45688112M
ol_OL11822690W,Paper towns,John Green,2008,Cheng bang wen hua shi ye gu fen you xian gong si,9781101873175,Paperback,tur,https://openlibrary.org/books/OL39616950M
ol_OL15029001W,1Q84,村上春樹,2009,labutxaca,8579621801,Paperback,rus,https://openlibrary.org/books/OL53592668M
ol_OL1846846W,The Poisonwood Bible,Barbara Kingsolver,1998,Brilliance Audio on CD Unabridged Lib Ed,159355950X,Paperback,eng,https://openlibrary.org/books/OL8872350M
ol_OL479072W,Never Cry Wolf,Farley Mowat,1963,Farely Mowat,0553203312,Paperback,spa,https://openlibrary.org/books/OL51288757M
ol_OL464512W,Wolf Hall,Hilary Mantel,2009,4th Estate,1554687780,Paperback,spa,https://openlibrary.org/books/OL47378832M
ol_OL52955W,Persuader,Lee Child,2003,Bantam Books,9781469265490,Paperback,pol,https://openlibrary.org/books/OL43638585M
ol_OL5819886W,Eldest,Christopher Paolini,2005,Jieli Publishing House,9780375926709,Paperback,spa,https://openlibrary.org/books/OL52948939M
ol_OL4092687W,Why shoot a butler?,Georgette Heyer,1933,Econ Tb.,052523375X,Paperback,ger,https://openlibrary.org/books/OL27364150M
ol_OL76959W,The Appeal,John Grisham,2008,Heyne Verlag,9781844138555,Paperback,fre,https://openlibrary.org/books/OL37044319M
ol_OL41249W,Stone Cold,David Baldacci,2007,Bastei Lübbe Taschenbuch,9780230017757,Paperback,spa,https://openlibrary.org/books/OL51688168M
ol_OL52946W,Tripwire,Lee Child,1999,"EKSMO, M",1407070215,Paperback,ger,https://openlibrary.org/books/OL45990539M
ol_OL11375139W,Hold the dream,Barbara Taylor Bradford,1625,Bantam,0816139814,Paperback,rus,https://openlibrary.org/books/OL26437164M
ol_OL257948W,A Feast for Crows,George R. R. Martin,2005,Spectra,9780553582031,Paperback,spa,https://openlibrary.org/books/OL40209099M
ol_OL149188W,The Running Man,Stephen King,1982,J'ai Lu,9781501143854,Paperback,fre,https://openlibrary.org/books/OL47350381M
ol_OL15374110W,"Full Dark, No Stars",Stephen King,2010,Heyne Verlag,1451650604,Paperback,chi,https://openlibrary.org/books/OL47407657M
ol_OL679348W,The Graveyard Book,Neil Gaiman,2008,HarperCollins Publishers Limited,6053750026,Paperback,spa,https://openlibrary.org/books/OL57082365M
ol_OL16325201W,Insurgent,Veronica Roth,2011,harpercollins,0007537123,Paperback,spa,https://openlibrary.org/books/OL52387952M
ol_OL17116910W,The Nightingale,Kristin Hannah,2000,St. Martin's Griffin,9781628995015,Paperback,spa,https://openlibrary.org/books/OL35381401M
ol_OL15183119W,The Red Pyramid,Rick Riordan,2010,,9780141384948,Paperback,swe,https://openlibrary.org/books/OL25983673M
ol_OL453852W,Thud!,Terry Pratchett,2005,DEBOLSILLO,1846171636,Paperback,spa,https://openlibrary.org/books/OL57506494M
ol_OL167148W,Cross,James Patterson,1684,Grand Central Publishing,1594835993,Paperback,spa,https://openlibrary.org/books/OL7993260M
ol_OL15936512W,Ready Player One,Ernest Cline,2008,Pocket,9780804190145,Paperback,lit,https://openlibrary.org/books/OL51678274M
ol_OL181821W,The Night Manager,John le Carré,1993,"Penguin Books, Limited",5557103368,Paperback,ger,https://openlibrary.org/books/OL27423486M
ol_OL81588W,Just After Sunset,Stephen King,2008,Pocket Books,9781410410603,Paperback,heb,https://openlibrary.org/books/OL47370918M
ol_OL19772W,Amazing Grace,Danielle Steel,2007,AST,8499898645,Paperback,dut,https://openlibrary.org/books/OL49968044M
