ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
gb_fD0xAQAAIAAJ,Narrative Technique,"Thomas H. Uzzell, Walter B. Pitkin",1923,,,Paperback,en,https://play.google.com/store/books/details?id=fD0xAQAAIAAJ&source=gbs_api
gb_ODngAAAAMAAJ,Standard Catalog for Public Libraries,H.W. Wilson Company,1977,,,Paperback,en,http://books.google.com/books?id=ODngAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_RuwcAQAAIAAJ,My Sister's Blue Eyes,Jacques Poulin,2007,,,Paperback,en,http://books.google.com/books?id=RuwcAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_TK8TAAAAYAAJ,The Way of Salvation in the Lutheran Church,George Henry Gerberding,1917,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=TK8TAAAAYAAJ&source=gbs_api
gb_PT0bAAAAIAAJ,The Novel and the World's Dilemma,Edwin Berry Burgum,1963,,,Paperback,en,http://books.google.com/books?id=PT0bAAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_tQTPAAAAIAAJ,The Nice and the Good,Iris Murdoch,1969,Signet Book,,Paperback,en,http://books.google.com/books?id=tQTPAAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_ek9XAAAAYAAJ,The Daughters of the Little Grey House,Marion Ames Taggart,1907,Createspace Independent Publishing Platform,,Paperback,en,https://play.google.com/store/books/details?id=ek9XAAAAYAAJ&source=gbs_api
gb_pvk0AAAAMAAJ,We Can't Have Everything,Rupert Hughes,1917,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=pvk0AAAAMAAJ&source=gbs_api
gb_ETVDAAAAIAAJ,The Philosophy of Fiction,Grant Martin Overton,1928,,,Paperback,en,https://play.google.com/store/books/details?id=ETVDAAAAIAAJ&source=gbs_api
gb_QrsOAAAAIAAJ,Abroad with the Jimmies,Lilian Bell,1902,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=QrsOAAAAIAAJ&source=gbs_api
gb_Pcg5AAAAMAAJ,The Wife of Steffen Tromholt,Hermann Sudermann,1929,,,Paperback,en,https://play.google.com/store/books/details?id=Pcg5AAAAMAAJ&source=gbs_api
gb_cbURAAAAYAAJ,Blix,Frank Norris,1899,,,Paperback,en,https://play.google.com/store/books/details?id=cbURAAAAYAAJ&source=gbs_api
gb_C0RFAAAAIAAJ,Old Gorgon Graham,George Horace Lorimer,1904,Montreal News Company,,Paperback,en,https://play.google.com/store/books/details?id=C0RFAAAAIAAJ&source=gbs_api
gb_z7IyAQAAIAAJ,The Technique of the Novel,Carl Henry Grabo,1928,,,Paperback,en,https://play.google.com/store/books/details?id=z7IyAQAAIAAJ&source=gbs_api
gb_6mwYAAAAYAAJ,"Macon Moore, the Southern Detective",Judson R. Taylor,1881,,,Paperback,en,https://play.google.com/store/books/details?id=6mwYAAAAYAAJ&source=gbs_api
